13520, 3, online, outlier
145.899994 , 3.57761 , 0.20505 , 0
136.300003 , 3.61158 , 0.19503 , 0
127.000000 , 3.64048 , 0.18401 , 0
117.699997 , 3.66679 , 0.17232 , 0
108.599998 , 3.68300 , 0.15936 , 0
99.529999 , 3.70330 , 0.14648 , 0
94.940002 , 3.72241 , 0.14059 , 0
89.889999 , 3.74727 , 0.13498 , 0
84.650002 , 3.77015 , 0.12904 , 0
79.510002 , 3.78373 , 0.12233 , 0
74.800003 , 3.78415 , 0.11471 , 0
70.120003 , 3.77527 , 0.10656 , 0
65.040001 , 3.77658 , 0.09901 , 0
59.770000 , 3.79481 , 0.09228 , 0
54.830002 , 3.81836 , 0.08565 , 0
50.200001 , 3.82615 , 0.07818 , 0
48.279999 , 3.82408 , 0.07497 , 0
46.259998 , 3.82180 , 0.07176 , 0
44.200001 , 3.82005 , 0.06858 , 0
42.169998 , 3.81792 , 0.06539 , 0
40.150002 , 3.81426 , 0.06215 , 0
38.029999 , 3.80849 , 0.05887 , 0
35.860001 , 3.79917 , 0.05550 , 0
33.759998 , 3.78042 , 0.05190 , 0
31.700001 , 3.75015 , 0.04807 , 0
29.780001 , 3.71095 , 0.04412 , 0
29.030001 , 3.68983 , 0.04217 , 0
28.299999 , 3.66616 , 0.04019 , 0
27.559999 , 3.64333 , 0.03828 , 0
26.860001 , 3.62104 , 0.03641 , 0
26.309999 , 3.59978 , 0.03460 , 0
25.590000 , 3.56831 , 0.03264 , 0
24.610001 , 3.53697 , 0.03073 , 0
23.860001 , 3.51786 , 0.02908 , 0
23.139999 , 3.50256 , 0.02752 , 0
22.350000 , 3.48609 , 0.02596 , 0
20.990000 , 3.46988 , 0.02443 , 0
19.480000 , 3.45678 , 0.02297 , 0
141.199997 , 3.77912 , 0.20271 , 0
131.199997 , 3.77106 , 0.18839 , 0
124.300003 , 3.79977 , 0.17761 , 0
117.900002 , 3.73565 , 0.15846 , 0
108.099998 , 3.71862 , 0.14394 , 0
98.470001 , 3.73251 , 0.13183 , 0
94.260002 , 3.73935 , 0.12570 , 0
90.000000 , 3.75315 , 0.11996 , 0
