12894 , 4, online, outline
52.51, 3.96390, 0.09670, 17.8026, 0
54.61, 3.97590, 0.08830, 18.2800, 0
56.89, 3.98800, 0.08010, 18.6816, 0
59.36, 4.00000, 0.07320, 18.9840, 0
64, 4.01200, 0.06800, 19.2441, 0
70.62, 4.02410, 0.06750, 19.3916, 0
74.47, 4.03610, 0.06680, 19.4684, 0
77.28, 4.04820, 0.06430, 19.5464, 0
26.26, 3.53010, 0.09720, 15.3430, 0
26.43, 3.54220, 0.09560, 15.5230, 0
26.6, 3.55420, 0.09510, 15.6358, 0
26.77, 3.56630, 0.09560, 15.6811, 0
27.13, 3.57830, 0.09820, 15.6433, 0
27.31, 3.59040, 0.10060, 15.5786, 0
27.49, 3.60240, 0.10340, 15.4912, 0
41.37, 3.60240, 0.29160, 11.3870, 0
27.86, 3.61450, 0.10780, 15.3615, 0
41.8, 3.61450, 0.27800, 11.8168, 0
28.25, 3.62650, 0.11070, 15.3248, 0
42.23, 3.62650, 0.26600, 12.2241, 0
28.64, 3.63860, 0.11100, 15.4358, 0
42.67, 3.63860, 0.25740, 12.5568, 0
29.05, 3.65060, 0.10730, 15.7591, 0
43.57, 3.65060, 0.23970, 13.2184, 0
29.26, 3.66270, 0.09870, 16.3003, 0
44.04, 3.66270, 0.22570, 13.7349, 0
29.9, 3.67470, 0.11890, 15.3962, 0
30.34, 3.68670, 0.13710, 14.6415, 0
44.52, 3.68670, 0.20780, 14.4338, 0
45.01, 3.69880, 0.19520, 14.9443, 0
30.8, 3.69880, 0.15890, 13.8215, 0
31.51, 3.71080, 0.20110, 12.4444, 0
45.51, 3.72290, 0.19010, 15.2568, 0
32, 3.72290, 0.23480, 11.5573, 0
46.02, 3.73490, 0.18410, 15.5579, 0
32.51, 3.73490, 0.27750, 10.5931, 0
46.54, 3.74700, 0.17830, 15.8473, 0
33.3, 3.74700, 0.36060, 9.0810, 0
47.08, 3.75900, 0.17310, 16.1173, 0
34.13, 3.75900, 0.41780, 8.3581, 0
47.63, 3.77110, 0.16830, 16.3684, 0
34.42, 3.77110, 0.42900, 8.2881, 0
48.19, 3.78310, 0.16380, 16.6041, 0
34.71, 3.78310, 0.43510, 8.2924, 0
48.76, 3.79520, 0.15950, 16.8262, 0
49.35, 3.80720, 0.15550, 17.0352, 0
35.01, 3.80720, 0.43750, 8.3869, 0
49.95, 3.83130, 0.15250, 17.2345, 0
35.31, 3.83130, 0.43200, 8.5949, 0
50.57, 3.84340, 0.14870, 17.4238, 0
51.2, 3.85540, 0.14520, 17.5985, 0
35.62, 3.85540, 0.41790, 8.9332, 0
51.85, 3.87950, 0.14280, 17.7605, 0
35.93, 3.87950, 0.39840, 9.3747, 0
52.51, 3.89160, 0.13950, 17.9143, 0
53.19, 3.90360, 0.13670, 18.0514, 0
36.25, 3.90360, 0.37820, 9.8504, 0
36.57, 3.91570, 0.35870, 10.2988, 0
53.9, 3.92770, 0.13500, 18.1739, 0
54.61, 3.93980, 0.13290, 18.2829, 0
36.9, 3.93980, 0.34490, 10.6985, 0
55.35, 3.95180, 0.13130, 18.3754, 0
37.58, 3.95180, 0.32180, 11.3211, 0
37.93, 3.96390, 0.31570, 11.5521, 0
56.11, 3.97590, 0.13090, 18.4581, 0
38.28, 3.97590, 0.31160, 11.7411, 0
56.89, 3.98800, 0.12990, 18.5324, 0
38.64, 3.98800, 0.30980, 11.8828, 0
57.69, 4.00000, 0.12910, 18.5986, 0
39.01, 4.00000, 0.31380, 11.9019, 0
58.51, 4.01200, 0.12850, 18.6611, 0
39.38, 4.01200, 0.32690, 11.7311, 0
41.37, 4.01200, 0.44070, 10.0748, 0
59.36, 4.02410, 0.12770, 18.7232, 0
39.77, 4.02410, 0.34710, 11.4360, 0
40.96, 4.02410, 0.41870, 10.3865, 0
60.24, 4.03610, 0.12680, 18.7863, 0
73.14, 4.03610, 0.15940, 18.7070, 0
40.16, 4.03610, 0.37140, 11.0911, 0
71.86, 4.04820, 0.14650, 18.8688, 0
61.13, 4.04820, 0.12570, 18.8513, 0
69.42, 4.06020, 0.12510, 19.1113, 0
63.01, 4.06020, 0.12260, 18.9735, 0
68.27, 4.07230, 0.12030, 19.1573, 0
27.96, 3.40960, 0.35430, 9.1202, 0
26.51, 3.40960, 0.45560, 6.9169, 0
27.86, 3.42170, 0.34040, 9.4617, 0
27.58, 3.43370, 0.30890, 10.2042, 0
26.6, 3.43370, 0.41620, 7.6452, 0
27.31, 3.44580, 0.29800, 10.4671, 0
26.77, 3.44580, 0.35650, 8.8979, 0
27.13, 3.45780, 0.30530, 10.2778, 0
31.03, 3.46990, 0.61290, 6.2842, 0
30.8, 3.48190, 0.57350, 6.6744, 0
31.39, 3.48190, 0.69740, 5.6996, 0
29.15, 3.48190, 2.53700, 2.4108, 0
30.57, 3.49400, 0.56020, 6.8173, 0
31.51, 3.49400, 0.67810, 5.8936, 0
39.38, 3.50600, 0.52430, 9.1708, 0
33.85, 3.50600, 0.63900, 6.6760, 0
30.34, 3.50600, 0.57710, 6.6294, 0
29.26, 3.50600, 2.34770, 2.5560, 0
39.96, 3.51810, 0.48810, 9.9014, 0
33.57, 3.51810, 0.58560, 7.2311, 0
31.63, 3.51810, 0.63010, 6.3936, 0
30.12, 3.51810, 0.63320, 6.0902, 0
37.75, 3.51810, 0.80000, 6.0474, 0
29.36, 3.51810, 1.94730, 2.9121, 0
40.35, 3.53010, 0.46670, 10.3891, 0
33.44, 3.53010, 0.56680, 7.4735, 0
31.75, 3.53010, 0.57830, 6.9899, 0
29.79, 3.53010, 0.86540, 4.7461, 0
40.76, 3.54220, 0.43100, 11.1505, 0
33.03, 3.54220, 0.52110, 8.0365, 0
32, 3.54220, 0.51690, 7.8638, 0
40.96, 3.55420, 0.40820, 11.6682, 0
32.51, 3.55420, 0.49430, 8.3603, 0
41.37, 3.56630, 0.35770, 12.8069, 0
37.41, 3.56630, 1.02340, 5.0205, 0
41.8, 3.57830, 0.31550, 13.8486, 0
42.01, 3.59040, 0.29960, 14.2941, 0
42.45, 3.60240, 0.27370, 15.0150, 0
42.89, 3.61450, 0.25600, 15.5457, 0
43.12, 3.62650, 0.25020, 15.7566, 0
43.57, 3.63860, 0.24110, 16.0721, 0
43.81, 3.65060, 0.23930, 16.1815, 0
44.28, 3.66270, 0.23800, 16.3063, 0
44.52, 3.67470, 0.24010, 16.3245, 0
45.01, 3.68670, 0.24640, 16.2790, 0
45.26, 3.69880, 0.25220, 16.2161, 0
45.76, 3.71080, 0.26580, 16.0187, 0
46.02, 3.72290, 0.27550, 15.8830, 0
46.54, 3.73490, 0.29660, 15.5470, 0
47.08, 3.74700, 0.32300, 15.1246, 0
47.35, 3.75900, 0.33910, 14.8860, 0
47.91, 3.77110, 0.37310, 14.3651, 0
48.19, 3.78310, 0.39330, 14.0836, 0
48.76, 3.79520, 0.43530, 13.4885, 0
49.05, 3.80720, 0.45980, 13.1788, 0
63.01, 3.80720, 0.62010, 12.8159, 0
64, 3.81930, 0.64090, 12.7327, 0
61.13, 3.81930, 0.62020, 12.6349, 0
49.65, 3.81930, 0.50900, 12.5552, 0
65.02, 3.83130, 0.67120, 12.5506, 0
59.8, 3.83130, 0.64120, 12.2607, 0
49.95, 3.83130, 0.53670, 12.2461, 0
66.6, 3.84340, 0.73180, 12.1225, 0
59.36, 3.84340, 0.65490, 12.0912, 0
50.57, 3.84340, 0.59030, 11.6538, 0
58.94, 3.85540, 0.67060, 11.9013, 0
67.7, 3.85540, 0.79370, 11.6696, 0
51.2, 3.85540, 0.64440, 11.1138, 0
58.51, 3.86750, 0.68780, 11.6973, 0
51.85, 3.86750, 0.69610, 10.6537, 0
57.69, 3.87950, 0.71890, 11.2902, 0
52.51, 3.87950, 0.74110, 10.3069, 0
29.47, 3.75900, 0.68020, 4.4513, 0
29.68, 3.84340, 0.50880, 5.3539, 0
29.9, 3.91570, 0.40940, 6.3718, 0
30.12, 3.96390, 0.34820, 7.3910, 0
30.34, 4.01200, 0.31190, 8.3048, 0
34.71, 4.01200, 0.36080, 8.2280, 0
33.3, 4.02410, 0.42270, 7.0299, 0
30.57, 4.04820, 0.29030, 9.0131, 0
35.31, 4.04820, 0.44200, 7.1743, 0
32.77, 4.04820, 0.43960, 6.7984, 0
32.51, 4.06020, 0.42690, 6.9417, 0
30.8, 4.07230, 0.28030, 9.4349, 0
40.55, 4.08430, 0.34960, 9.9220, 0
35.62, 4.08430, 0.44420, 7.2972, 0
32.25, 4.08430, 0.40330, 7.2811, 0
41.37, 4.09640, 0.33320, 10.5377, 0
37.24, 4.09640, 0.42600, 7.8657, 0
35.93, 4.09640, 0.43080, 7.5684, 0
42.23, 4.10840, 0.32070, 11.0920, 0
31.03, 4.10840, 0.28380, 9.5371, 0
36.25, 4.10840, 0.42890, 7.6877, 0
43.12, 4.12050, 0.31160, 11.5720, 0
43.57, 4.13250, 0.30930, 11.7804, 0
31.27, 4.13250, 0.29640, 9.3449, 0
44.52, 4.14460, 0.30970, 12.0058, 0
64, 4.16870, 0.24910, 16.4670, 0
66.07, 4.18070, 0.24750, 16.7122, 0
61.13, 4.18070, 0.25590, 16.0690, 0
45.51, 4.18070, 0.37510, 10.6888, 0
67.15, 4.19280, 0.24820, 16.8165, 0
57.69, 4.19280, 0.26360, 15.5353, 0
46.02, 4.19280, 0.37550, 10.8238, 0
52.51, 4.20480, 0.30890, 13.6766, 0
47.63, 4.20480, 0.36790, 11.3470, 0
68.27, 4.21690, 0.25080, 16.9074, 0
49.35, 4.21690, 0.35300, 12.0645, 0
69.42, 4.22890, 0.25240, 16.9901, 0
70.62, 4.24100, 0.25410, 17.0710, 0
77.28, 4.25300, 0.26550, 17.3185, 0
71.86, 4.25300, 0.25610, 17.1449, 0
75.85, 4.26510, 0.26170, 17.3250, 0
51.52, 3.80720, 0.18930, 13.5435, 0
52.51, 3.81930, 0.17270, 14.5483, 0
49.35, 3.81930, 0.24000, 10.9248, 0
53.19, 3.83130, 0.16230, 15.1838, 0
53.54, 3.84340, 0.15760, 15.4893, 0
48.19, 3.84340, 0.33980, 7.5597, 0
54.25, 3.85540, 0.14790, 16.0586, 0
54.61, 3.86750, 0.14360, 16.3244, 0
47.91, 3.86750, 0.38300, 6.6698, 0
55.35, 3.87950, 0.13470, 16.8079, 0
56.11, 3.89160, 0.12670, 17.2271, 0
47.63, 3.89160, 0.42910, 5.9299, 0
56.89, 3.90360, 0.11940, 17.5903, 0
57.69, 3.91570, 0.11280, 17.9021, 0
47.35, 3.91570, 0.48440, 5.2473, 0
58.51, 3.92770, 0.10700, 18.1659, 0
43.12, 3.92770, 0.56970, 4.0910, 0
59.8, 3.93980, 0.09900, 18.4924, 0
42.89, 3.93980, 0.52210, 4.4551, 0
60.68, 3.95180, 0.09420, 18.6796, 0
62.06, 3.96390, 0.08730, 18.9165, 0
63.01, 3.97590, 0.08300, 19.0552, 0
64.5, 3.98800, 0.07650, 19.2368, 0
66.6, 4.00000, 0.06850, 19.4284, 0
68.27, 4.01200, 0.06310, 19.5421, 0
71.24, 4.02410, 0.05650, 19.6643, 0
74.47, 4.03610, 0.05490, 19.7136, 0
75.16, 4.04820, 0.05580, 19.7124, 0
80.31, 4.06020, 0.07220, 19.5861, 0
83.59, 4.07230, 0.09680, 19.3281, 0
26.26, 3.46990, 0.10120, 14.9975, 0
26.6, 3.48190, 0.10050, 15.1504, 0
26.77, 3.49400, 0.09890, 15.3166, 0
27.13, 3.50600, 0.09250, 15.7917, 0
27.31, 3.51810, 0.08790, 16.1291, 0
27.68, 3.53010, 0.07710, 16.8673, 0
27.86, 3.54220, 0.07100, 17.2868, 0
28.06, 3.55420, 0.06520, 17.6809, 0
28.44, 3.56630, 0.05400, 18.3625, 0
28.64, 3.57830, 0.04930, 18.6356, 0
29.05, 3.59040, 0.04250, 18.9951, 0
29.26, 3.60240, 0.04090, 19.0870, 0
29.68, 3.61450, 0.04120, 19.1097, 0
29.9, 3.62650, 0.04300, 19.0595, 0
30.34, 3.63860, 0.04860, 18.8716, 0
30.57, 3.65060, 0.05240, 18.7390, 0
31.03, 3.66270, 0.05990, 18.4614, 0
31.51, 3.67470, 0.06800, 18.1581, 0
31.75, 3.68670, 0.07260, 17.9947, 0
32.25, 3.69880, 0.08090, 17.6923, 0
32.77, 3.71080, 0.08960, 17.3799, 0
33.03, 3.72290, 0.09490, 17.2008, 0
33.57, 3.73490, 0.10570, 16.8239, 0
33.85, 3.74700, 0.11220, 16.6126, 0
34.42, 3.75900, 0.12060, 16.3735, 0
34.71, 3.77110, 0.12150, 16.4095, 0
35.31, 3.78310, 0.11820, 16.6559, 0
35.62, 3.79520, 0.11640, 16.8000, 0
35.93, 3.80720, 0.11500, 16.9228, 0
36.57, 3.81930, 0.11260, 17.1244, 0
37.24, 3.83130, 0.11140, 17.2732, 0
37.93, 3.84340, 0.11140, 17.3758, 0
38.64, 3.85540, 0.11280, 17.4255, 0
39.01, 3.86750, 0.11450, 17.4300, 0
39.77, 3.87950, 0.11920, 17.3686, 0
42.23, 3.89160, 0.12780, 17.3545, 0
40.96, 3.89160, 0.12970, 17.1653, 0
43.57, 3.90360, 0.11520, 17.8885, 0
44.52, 3.91570, 0.10840, 18.1795, 0
45.51, 3.92770, 0.10330, 18.4026, 0
46.54, 3.93980, 0.09970, 18.5717, 0
47.63, 3.95180, 0.09710, 18.7041, 0
48.76, 3.96390, 0.09550, 18.8083, 0
49.95, 3.97590, 0.09430, 18.8958, 0
51.2, 3.98800, 0.09350, 18.9735, 0
53.19, 4.00000, 0.09250, 19.0722, 0
54.61, 4.01200, 0.09210, 19.1322, 0
56.89, 4.02410, 0.09240, 19.1998, 0
59.36, 4.03610, 0.09420, 19.2425, 0
61.13, 4.04820, 0.09640, 19.2598, 0
63.01, 4.06020, 0.09920, 19.2701, 0
65.02, 4.07230, 0.10250, 19.2761, 0
67.15, 4.08430, 0.10610, 19.2818, 0
69.42, 4.09640, 0.10970, 19.2895, 0
26.43, 3.53010, 0.06740, 12.5532, 0
26.95, 3.54220, 0.06650, 12.9325, 0
27.68, 3.55420, 0.06620, 13.2944, 0
28.25, 3.56630, 0.06630, 13.5277, 0
28.84, 3.57830, 0.06630, 13.7690, 0
29.47, 3.59040, 0.06610, 14.0427, 0
30.12, 3.60240, 0.06580, 14.3249, 0
30.57, 3.61450, 0.06560, 14.5183, 0
30.8, 3.62650, 0.06570, 14.6246, 0
31.27, 3.63860, 0.06540, 14.8289, 0
31.75, 3.65060, 0.06500, 15.0488, 0
32, 3.66270, 0.06480, 15.1805, 0
32.25, 3.67470, 0.06460, 15.3113, 0
32.77, 3.68670, 0.06370, 15.5787, 0
33.03, 3.69880, 0.06340, 15.7126, 0
33.57, 3.71080, 0.06260, 15.9501, 0
33.85, 3.72290, 0.06250, 16.0581, 0
34.42, 3.73490, 0.06230, 16.2251, 0
34.71, 3.74700, 0.06260, 16.2923, 0
35.31, 3.75900, 0.06310, 16.3822, 0
35.62, 3.77110, 0.06370, 16.4156, 0
36.25, 3.78310, 0.06470, 16.4622, 0
36.9, 3.79520, 0.06600, 16.4955, 0
