   8924, 3, online, outlier
    85,  3.875, 0.3196, 0
    80,  3.843, 0.2959, 0
    75,  3.814, 0.2732, 0
    65,  3.946, 0.2534, 0
    60,  3.817, 0.2189, 0
    55,  3.807, 0.1997, 0
    50,  3.753, 0.1764, 0
    48,  3.705,  0.165, 0
    46,  3.658, 0.1541, 0
    44,  3.624, 0.1447, 0
    42,  3.592, 0.1357, 0
    40,  3.559, 0.1269, 0
    38,  3.533, 0.1187, 0
    36,  3.486, 0.1096, 0
    34,  3.442, 0.1009, 0
    32,  3.414, 0.09339, 0
    30,  3.401, 0.0869, 0
    29,  3.389, 0.08342, 0
    28,  3.377, 0.07996, 0
    27,  3.357, 0.07621, 0
    26,  3.329, 0.07214, 0
    26,  3.175, 0.06565, 0
    25,  3.281, 0.06739, 0
    25,  3.151, 0.06217, 0
    80,  3.599, 0.2335, 0
    75,  3.785, 0.2421, 0
    70,  4.045, 0.2581, 0
    65,  3.847, 0.2168, 0
    60,  3.554, 0.1708, 0
    55,  3.748, 0.1741, 0
    50,  3.668, 0.1516, 0
    48,  3.614, 0.1412, 0
    46,  3.667, 0.1394, 0
    44,  3.677, 0.1341, 0
    42,  3.632, 0.1248, 0
    40,  3.562, 0.1144, 0
    38,  3.577, 0.1095, 0
    36,  3.566, 0.1032, 0
    34,  3.486, 0.09311, 0
    32,  3.402, 0.08345, 0
    30,  3.362, 0.07639, 0
    29,  3.342, 0.07299, 0
    28,  3.323, 0.06968, 0
    27,  3.304, 0.06643, 0
    26,  3.295, 0.0636, 0
    25,  3.286, 0.06083, 0
    55,   3.86, 0.1991, 0
    50,  3.624, 0.1595, 0
    46,   3.54, 0.1401, 0
    44,  3.812, 0.1553, 0
    42,  3.682, 0.1383, 0
    38,  3.558, 0.1169, 0
    36,  3.637, 0.1157, 0
    34,  3.466, 0.09923, 0
    32,  3.459, 0.09304, 0
    30,  3.386, 0.08357, 0
    29,  3.384, 0.08069, 0
    28,  3.382, 0.07782, 0
    27,  3.339, 0.07314, 0
    70,  3.951, 0.2106, 0
    65,  3.809, 0.1817, 0
    60,  3.486, 0.1406, 0
    55,  3.733, 0.1477, 0
    50,  3.536, 0.1205, 0
    46,  3.488, 0.1079, 0
    44,  3.629, 0.1117, 0
    42,  3.556, 0.1024, 0
    38,  3.478, 0.08858, 0
    36,  3.503, 0.08512, 0
    32,  3.356, 0.06945, 0
    30,  3.268, 0.06176, 0
    29,  3.236, 0.05851, 0
    28,  3.254, 0.05712, 0
    27,  3.247, 0.05486, 0
    26,  3.206, 0.05149, 0
    70,  4.121, 0.2485, 0
    65,  3.962, 0.2132, 0
    60,  3.757,  0.177, 0
    55,  3.826, 0.1683, 0
    50,  3.662, 0.1401, 0
    48,  3.516,  0.124, 0
    46,  3.579, 0.1232, 0
    44,  3.637, 0.1216, 0
    42,  3.632, 0.1158, 0
    40,  3.565, 0.1063, 0
    38,  3.509, 0.09777, 0
    36,   3.47, 0.0906, 0
    34,  3.409, 0.08258, 0
    32,  3.376, 0.07622, 0
    30,  3.353, 0.07051, 0
    29,  3.339, 0.06759, 0
    28,  3.315, 0.06432, 0
    27,  3.278, 0.06064, 0
    26,  3.237, 0.05693, 0
    25,  3.208, 0.05378, 0
    70,  3.926,  0.267, 0
    65,  3.845, 0.2378, 0
    60,  3.575, 0.1898, 0
    55,  3.845, 0.2012, 0
    50,  3.677, 0.1673, 0
    48,  3.553,   0.15, 0
    46,  3.617, 0.1489, 0
    44,   3.65, 0.1451, 0
    42,  3.624, 0.1365, 0
    40,  3.571, 0.1262, 0
    38,  3.548, 0.1184, 0
    36,  3.519, 0.1103, 0
    34,  3.473, 0.1015, 0
    32,  3.477, 0.09573, 0
    30,  3.448, 0.08828, 0
    29,  3.408, 0.08335, 0
    28,   3.34, 0.07731, 0
    27,   3.28, 0.0719, 0
    26,  3.244, 0.06771, 0
    25,  3.232, 0.06461, 0
    90,  3.839, 0.2559, 0
    75,  3.772, 0.2059, 0
    70,  3.973, 0.2131, 0
    65,  3.762, 0.1775, 0
    55,  3.747,  0.149, 0
    50,  3.616, 0.1261, 0
    48,  3.513, 0.1142, 0
    46,  3.578, 0.1136, 0
    44,  3.604, 0.1102, 0
    42,  3.585, 0.1041, 0
    40,  3.539, 0.09664, 0
    38,  3.496, 0.08959, 0
    36,  3.452, 0.08274, 0
    34,  3.395, 0.07558, 0
    32,  3.357, 0.06955, 0
    30,  3.323, 0.06392, 0
    29,  3.302, 0.06098, 0
    28,  3.279, 0.05806, 0
    27,  3.252, 0.05507, 0
    26,  3.224, 0.05213, 0
    25,  3.198, 0.04931, 0
    90,  3.971, 0.3096, 0
    85,  3.948, 0.2891, 0
    80,  3.952, 0.2726, 0
    75,  3.929, 0.2526, 0
    70,  3.845, 0.2258, 0
    65,  3.791, 0.2038, 0
    60,  3.736, 0.1827, 0
    55,  3.829, 0.1759, 0
    50,  3.608,  0.142, 0
    48,  3.534, 0.1308, 0
    46,  3.592, 0.1295, 0
    44,  3.615, 0.1255, 0
    42,  3.595, 0.1185, 0
    40,  3.561, 0.1107, 0
    38,  3.562, 0.1052, 0
    36,  3.555, 0.09929, 0
    34,  3.483, 0.09001, 0
    32,  3.397, 0.08058, 0
    30,  3.313, 0.07185, 0
    29,  3.268, 0.06759, 0
    28,  3.236, 0.06396, 0
    27,  3.224, 0.06123, 0
    26,  3.246, 0.05977, 0
    50,  3.647, 0.1708, 0
    46,  3.633, 0.1559, 0
    44,  3.666, 0.1519, 0
    42,  3.618, 0.1412, 0
    40,  3.558, 0.1301, 0
    38,  3.584, 0.1253, 0
    36,  3.553, 0.1167, 0
    34,  3.499, 0.1069, 0
    32,  3.479, 0.09951, 0
    30,  3.436, 0.09099, 0
    29,  3.408, 0.08653, 0
    28,  3.385, 0.08241, 0
    27,  3.365, 0.07853, 0
    26,  3.346, 0.07475, 0
    25,  3.334, 0.07137, 0
    90,  3.504, 0.2142, 0
    85,  3.473, 0.1987, 0
    80,  3.655, 0.2072, 0
    75,  3.867, 0.2174, 0
    70,  3.929, 0.2095, 0
    65,  3.884, 0.1901, 0
    60,  3.684, 0.1579, 0
    55,  3.791, 0.1532, 0
    50,  3.648,  0.129, 0
    48,  3.524, 0.1156, 0
    46,  3.552, 0.1125, 0
    44,  3.557, 0.1079, 0
    42,  3.533, 0.1016, 0
    40,  3.509, 0.09548, 0
    38,  3.528, 0.0917, 0
    36,  3.514, 0.08615, 0
    34,  3.411, 0.07668, 0
    32,  3.321, 0.0684, 0
    30,    3.3, 0.06333, 0
    29,  3.291, 0.06089, 0
    28,  3.279, 0.05836, 0
    27,  3.254, 0.05542, 0
    26,  3.231, 0.05261, 0
    25,  3.208, 0.04988, 0
    90,  3.898, 0.2592, 0
    85,  3.717, 0.2226, 0
    80,  3.687, 0.2061, 0
    75,   3.76,  0.201, 0
    70,  3.945, 0.2065, 0
    65,   3.76, 0.1742, 0
    60,  3.576, 0.1454, 0
    55,  3.765, 0.1478, 0
    50,  3.656, 0.1266, 0
    48,  3.567, 0.1157, 0
    46,  3.612, 0.1138, 0
    44,  3.636, 0.1103, 0
    42,  3.607, 0.1036, 0
    40,  3.515, 0.09368, 0
    38,  3.459, 0.08615, 0
    36,  3.431, 0.08033, 0
    34,  3.375, 0.07341, 0
    32,  3.327, 0.06712, 0
    30,  3.281, 0.0612, 0
    29,  3.261, 0.05843, 0
    28,  3.247, 0.05593, 0
    27,  3.231, 0.05341, 0
    26,  3.212, 0.05084, 0
    25,  3.182, 0.04797, 0
    95,  4.209,  0.341, 0
    90,  3.969, 0.2872, 0
    85,  3.492,   0.21, 0
    80,  3.463, 0.1944, 0
    75,  3.639, 0.2013, 0
    70,  3.893,  0.215, 0
    65,  3.843, 0.1945, 0
    60,  3.655, 0.1624, 0
    55,  3.785, 0.1596, 0
    50,   3.63, 0.1335, 0
    48,  3.523, 0.1207, 0
    46,  3.578, 0.1193, 0
    44,  3.617, 0.1166, 0
    42,    3.6, 0.1103, 0
    40,  3.526, 0.1008, 0
    38,   3.46, 0.09214, 0
    36,  3.441, 0.08638, 0
    34,  3.422, 0.08066, 0
    32,  3.387, 0.07437, 0
    30,  3.326, 0.06726, 0
    29,  3.298, 0.06389, 0
    28,  3.273, 0.06078, 0
    27,  3.248, 0.05773, 0
    26,  3.228, 0.05487, 0
    70,   3.86, 0.1991, 0
    65,  3.824, 0.1814, 0
    60,  3.597, 0.1482, 0
    55,  3.469, 0.1264, 0
    50,  3.646, 0.1268, 0
    50,  3.497, 0.1167, 0
    48,  3.523, 0.1137, 0
    46,  3.593, 0.1134, 0
    44,   3.59, 0.1082, 0
    42,  3.533, 0.1001, 0
    40,  3.413, 0.08893, 0
    38,  3.334, 0.08059, 0
    36,   3.26, 0.07303, 0
    34,  3.184, 0.06581, 0
    32,  3.138, 0.06013, 0
    30,  3.143, 0.05657, 0
    29,  3.154, 0.05506, 0
    28,  3.153, 0.05313, 0
    27,  3.129, 0.05047, 0
    26,   3.09, 0.04738, 0
    70,   3.97, 0.2174, 0
    65,  3.883, 0.1932, 0
    60,  3.616, 0.1546, 0
    55,  3.808, 0.1572, 0
    50,  3.574, 0.1259, 0
    48,  3.484, 0.1148, 0
    46,  3.542, 0.1137, 0
    44,  3.563, 0.1101, 0
    42,  3.539, 0.1037, 0
    40,  3.489, 0.09599, 0
    38,  3.524, 0.09299, 0
    36,  3.546, 0.08922, 0
    34,  3.464, 0.08041, 0
    34,   3.29, 0.07253, 0
    32,  3.309, 0.06904, 0
    30,  3.274, 0.06339, 0
    29,  3.265, 0.06091, 0
    28,  3.275, 0.05921, 0
    27,  3.296, 0.05782, 0
    26,  3.304, 0.05595, 0
    80,  3.546, 0.2569, 0
    75,   3.63, 0.2524, 0
    70,  3.965,  0.281, 0
    65,  3.839, 0.2446, 0
    60,  3.546, 0.1927, 0
    55,  3.802,  0.203, 0
    50,  3.691,  0.174, 0
    48,  3.591, 0.1581, 0
    46,  3.635, 0.1552, 0
    44,  3.658, 0.1503, 0
    42,  3.632, 0.1415, 0
    40,  3.601, 0.1325, 0
    38,    3.6, 0.1257, 0
    36,  3.574, 0.1174, 0
    34,  3.538, 0.1087, 0
    32,  3.509, 0.1006, 0
    30,  3.462, 0.09183, 0
    29,  3.443, 0.08778, 0
    28,  3.438, 0.08453, 0
    27,  3.429, 0.08106, 0
    26,  3.417, 0.0775, 0
    25,  3.394, 0.07353, 0
    90,  3.732,  0.257, 0
    80,  3.716, 0.2264, 0
    75,  3.927, 0.2371, 0
    70,  4.078, 0.2386, 0
    65,  3.725, 0.1849, 0
    60,   3.54, 0.1541, 0
    55,  3.816, 0.1641, 0
